date,CPI,Mortgage_rate,Unemp_rate,disposable_income,Personal_consumption_expenditure,personal_savings
11/1/1980,85.6,14.205,7.5,4976.5,1826.8,11.6
12/1/1980,86.4,14.79,7.2,4999.8,1851.7,11.4
1/1/1981,87.2,14.904,7.5,4980.4,1870,10.9
2/1/1981,88,15.1325,7.4,4965,1884.2,10.8
3/1/1981,88.6,15.4,7.4,4979,1902.9,10.8
4/1/1981,89.1,15.58,7.2,4965.1,1904.4,10.9
5/1/1981,89.7,16.402,7.5,4974.8,1913.8,11
6/1/1981,90.5,16.695,7.5,5001.9,1934.5,10.8
7/1/1981,91.5,16.832,7.2,5080.8,1942.1,12.3
8/1/1981,92.2,17.285,7.4,5095.9,1966.6,12
9/1/1981,93.1,18.16,7.6,5087.2,1965.5,12.4
10/1/1981,93.4,18.454,7.9,5093.8,1963.9,13
11/1/1981,93.8,17.825,8.3,5096.9,1970.6,13.2
12/1/1981,94.1,16.946,8.5,5090.2,1988.8,12.5
1/1/1982,94.4,17.485,8.6,5096.9,1997.1,12.7
2/1/1982,94.7,17.5975,8.9,5110.8,2021.2,12.1
3/1/1982,94.7,17.16,9,5110,2024.1,12.2
4/1/1982,95,16.892,9.3,5160.6,2026.3,12.9
5/1/1982,95.9,16.6775,9.4,5139,2044.5,12.3
6/1/1982,97,16.6975,9.6,5110.7,2048.1,12.3
7/1/1982,97.5,16.816,9.8,5157,2072.2,12.5
8/1/1982,97.7,16.27,9.8,5164.7,2080.1,12.6
9/1/1982,97.7,15.43,10.1,5162.4,2104.6,11.8
10/1/1982,98.1,14.608,10.4,5156.3,2125.8,11.3
11/1/1982,98,13.825,10.8,5176.1,2149.3,10.9
12/1/1982,97.7,13.624,10.8,5200.2,2161.6,10.9
1/1/1983,97.9,13.2475,10.4,5217.2,2174,11.1
2/1/1983,98,13.0425,10.4,5218.8,2177,11.1
3/1/1983,98.1,12.8,10.3,5243.3,2202.8,10.6
4/1/1983,98.8,12.782,10.2,5254.4,2226.4,10.3
5/1/1983,99.2,12.6325,10.1,5264.8,2245.9,9.9
6/1/1983,99.4,12.87,10.1,5268.9,2276,9.1
7/1/1983,99.8,13.422,9.4,5335.3,2304.4,9.6
8/1/1983,100.1,13.81,9.5,5325.3,2320.4,9.2
9/1/1983,100.4,13.726,9.2,5364.1,2334.9,9.6
10/1/1983,100.8,13.535,8.8,5412.5,2357.6,9.7
11/1/1983,101.1,13.435,8.5,5459.7,2366.3,10.3
12/1/1983,101.4,13.42,8.3,5509.4,2393.6,10.1
1/1/1984,102.1,13.3675,8,5535.1,2419.4,10
2/1/1984,102.6,13.2325,7.8,5568.2,2403.5,11.7
3/1/1984,102.9,13.386,7.8,5605.1,2431.6,11.5
4/1/1984,103.3,13.6525,7.7,5643.8,2457.5,11.5
5/1/1984,103.5,13.9425,7.4,5652.5,2474.5,11.1
6/1/1984,103.7,14.416,7.2,5690.2,2495.6,11.1
7/1/1984,104.1,14.6675,7.5,5697.4,2494.6,11.6
8/1/1984,104.4,14.47,7.5,5736.2,2512.2,11.8
9/1/1984,104.7,14.35,7.3,5777,2533.8,11.8
10/1/1984,105.1,14.13,7.4,5755.4,2531.3,11.7
11/1/1984,105.3,13.638,7.2,5780.3,2571.4,10.9
12/1/1984,105.5,13.18,7.3,5815.5,2582.6,11.2
1/1/1985,105.7,13.075,7.3,5813.6,2618.8,10.3
2/1/1985,106.3,12.92,7.2,5759.7,2640.8,9.1
3/1/1985,106.8,13.17,7.2,5733,2648.5,8.7
4/1/1985,107,13.195,7.3,5828.1,2659.5,9.9
5/1/1985,107.2,12.914,7.2,5970.2,2696.4,11.1
6/1/1985,107.5,12.215,7.4,5844.8,2689.4,9.6
7/1/1985,107.7,12.0325,7.4,5857.2,2715.7,9.1
8/1/1985,107.9,12.186,7.1,5852.9,2752.1,8.2
9/1/1985,108.1,12.1925,7.1,5877.9,2794.7,7.3
10/1/1985,108.5,12.135,7.1,5907,2755.8,9.1
11/1/1985,109,11.784,7,5915.8,2771.1,9
12/1/1985,109.5,11.26,7,5951.1,2811.3,8.6
1/1/1986,109.9,10.886,6.7,5961.6,2827.1,8.6
2/1/1986,109.7,10.71,7.2,5992.4,2820.2,9.3
3/1/1986,109.1,10.08,7.2,6053.6,2823.6,9.9
4/1/1986,108.7,9.9375,7.1,6076.8,2835.2,9.7
5/1/1986,109,10.144,7.2,6082.8,2857.5,9.3
6/1/1986,109.4,10.6825,7.2,6078.3,2861.7,9.4
7/1/1986,109.5,10.5075,7,6110.2,2881.2,9.3
8/1/1986,109.6,10.2,6.9,6119.3,2898.6,9
9/1/1986,110,10.0075,7,6124.9,2971.8,7.2
10/1/1986,110.2,9.974,7,6121.2,2932.9,8.4
11/1/1986,110.4,9.695,6.9,6125.2,2928.4,8.8
12/1/1986,110.8,9.31,6.6,6135.8,2997.1,7
1/1/1987,111.4,9.204,6.6,6159.5,2935.5,9.7
2/1/1987,111.8,9.0825,6.6,6192.1,3001.7,8.5
3/1/1987,112.2,9.035,6.6,6200,3013.3,8.5
4/1/1987,112.7,9.8325,6.3,5967.2,3038.8,4.5
5/1/1987,113,10.596,6.3,6209.1,3048.4,8.2
6/1/1987,113.5,10.5375,6.2,6200.8,3072.8,7.7
7/1/1987,113.8,10.278,6.1,6218.1,3094.7,7.5
8/1/1987,114.3,10.33,6,6244.2,3130.8,7.2
9/1/1987,114.7,10.8875,5.9,6244.3,3126.5,7.6
10/1/1987,115,11.26,6,6284.5,3134.5,8.3
11/1/1987,115.4,10.65,5.8,6308.9,3144.2,8.5
12/1/1987,115.6,10.64,5.7,6365.4,3174.1,8.7
1/1/1988,116,10.3825,5.7,6378.8,3213.7,8.1
2/1/1988,116.2,9.8925,5.7,6416,3221.4,8.6
3/1/1988,116.5,9.93,5.7,6442.2,3260.5,8.2
4/1/1988,117.2,10.202,5.4,6464.3,3263,8.8
5/1/1988,117.5,10.455,5.6,6473.4,3293.6,8.4
6/1/1988,118,10.46,5.4,6497.4,3318.5,8.4
7/1/1988,118.5,10.432,5.4,6524.5,3342.7,8.6
8/1/1988,119,10.5975,5.6,6542.8,3368,8.4
9/1/1988,119.5,10.48,5.4,6555.5,3375,8.9
10/1/1988,119.9,10.3025,5.4,6590.4,3413.7,8.6
11/1/1988,120.3,10.265,5.3,6592.6,3430.2,8.4
12/1/1988,120.7,10.612,5.3,6625.1,3459.7,8.3
1/1/1989,121.2,10.73,5.4,6653.4,3483.7,8.5
2/1/1989,121.6,10.645,5.2,6673.2,3488,9
3/1/1989,122.2,11.032,5,6706.7,3498.8,9.5
4/1/1989,123.1,11.05,5.2,6672.3,3543,8.4
5/1/1989,123.7,10.7725,5.2,6641.7,3551.8,8.1
6/1/1989,124.1,10.196,5.3,6660.5,3566.6,8.2
7/1/1989,124.5,9.8825,5.2,6683.9,3585.7,8.2
8/1/1989,124.5,9.985,5.2,6701.6,3620.6,7.6
9/1/1989,124.8,10.126,5.3,6721.7,3621.9,8.1
10/1/1989,125.4,9.9475,5.3,6754.8,3633.6,8.5
11/1/1989,125.9,9.7675,5.4,6761.3,3643.3,8.6
12/1/1989,126.3,9.744,5.4,6761.4,3684.2,7.8
1/1/1990,127.5,9.895,5.4,6801,3730.7,8
2/1/1990,128,10.1975,5.3,6815.1,3728.2,8.6
3/1/1990,128.6,10.268,5.2,6816.9,3754.9,8.3
4/1/1990,128.9,10.37,5.4,6860.6,3770,8.8
5/1/1990,129.1,10.4775,5.4,6852.4,3775.8,8.7
6/1/1990,129.9,10.164,5.2,6862.3,3804.5,8.6
7/1/1990,130.5,10.035,5.5,6886.1,3821.7,8.7
8/1/1990,131.6,10.1,5.7,6842.8,3848.3,8.1
9/1/1990,132.5,10.175,5.9,6839.5,3870.1,8.1
10/1/1990,133.4,10.1775,5.9,6783.4,3870.6,7.8
11/1/1990,133.7,10.014,6.2,6785.1,3871.9,7.9
12/1/1990,134.2,9.6725,6.3,6824.1,3861.3,8.8
